"","Var1","Freq.x","Freq.y","TotalFreq"
"32","BRAF",26,4,30
"124","EPHB1",11,1,12
"254","MYO3A",7,5,12
"371","STK11",8,4,12
"193","MAP2K7",9,2,11
"78","CHEK2",6,3,9
"398","TGFBR1",6,2,8
"6","ACVR1B",6,1,7
"70","CDK8",4,3,7
"109","DYRK3",7,0,7
"131","ERN2",7,0,7
"149","GRK7",4,3,7
"323","PRKG1",6,1,7
"403","TNIK",5,2,7
"10","ACVRL1",4,2,6
"90","CSNK1E",6,0,6
"111","EGFR",6,0,6
"118","EPHA3",4,2,6
"129","ERBB4",4,2,6
"151","GSK3B",5,1,6
"190","MAP2K4",5,1,6
"241","MERTK",6,0,6
"269","NTRK1",6,0,6
"399","TGFBR2",4,2,6
"415","TTK",6,0,6
"4","ABL2",4,1,5
"14","AKT2",3,2,5
"33","BRSK1",4,1,5
"45","CAMK4",4,1,5
"93","CSNK1G3",4,1,5
"117","EPHA2",2,3,5
"122","EPHA7",4,1,5
"132","FER",4,1,5
"135","FGFR2",3,2,5
"152","HCK",4,1,5
"173","KIAA1804",4,1,5
"212","MAP4K4",4,1,5
"226","MAPK9",4,1,5
"282","PASK",5,0,5
"288","PHKG1",2,3,5
"309","PRKACG",5,0,5
"314","PRKCG",3,2,5
"342","ROS1",3,2,5
"380","STK32B",5,0,5
"408","TSSK1B",4,1,5
"420","ULK1",4,1,5
"429","ZAP70",4,1,5
"11","ADRBK1",3,1,4
"53","CDK10",3,1,4
"56","CDK13",3,1,4
"58","CDK15",4,0,4
"60","CDK17",3,1,4
"89","CSNK1D",2,2,4
"96","DAPK1",2,2,4
"106","DYRK1A",3,1,4
"134","FGFR1",4,0,4
"139","FLT1",2,2,4
"150","GSK3A",3,1,4
"156","HIPK4",4,0,4
"168","JAK1",2,2,4
"178","LIMK1",2,2,4
"191","MAP2K5",4,0,4
"203","MAP3K4",3,1,4
"206","MAP3K7",3,1,4
"228","MAPKAPK3",3,1,4
"281","PAK7",3,1,4
"289","PHKG2",3,1,4
"310","PRKCA",4,0,4
"311","PRKCB",2,2,4
"316","PRKCI",3,1,4
"365","SRC",4,0,4
"400","TIE1",4,0,4
"3","ABL1",2,1,3
"7","ACVR1C",1,2,3
"8","ACVR2A",3,0,3
"13","AKT1",1,2,3
"17","AMHR2",3,0,3
"24","AURKC",0,3,3
"34","BRSK2",2,1,3
"39","CAMK1D",2,1,3
