,Gene,X.1,X,Freq,endCAT,oneoverendCAT,shortestSCORE,longestSCORE,meanSCORE
168,STK11,411,467,12,446,0.00896861,0.053811659,0.053811659,0.053811659
99,MAP2K4,239,268,10,557,0.00718413,0.036204406,0.036204406,0.036204406
15,BMPR2,37,40,12,772,0.005181347,0.031088083,0.031088083,0.031088083
4,ACVR2A,8,9,11,738,0.005420054,0.029810298,0.029810298,0.029810298
189,TSSK1B,457,520,5,370,0.010810811,0.027027027,0.027027027,0.027027027
171,STK32A,420,476,5,380,0.010526316,0.026315789,0.026315789,0.026315789
170,STK24,416,472,5,402,0.009950249,0.024875622,0.024875622,0.024875622
40,CSNK1A1,96,208,5,820,0.019603624,0.024839226,0.02283105,0.023835138
104,MAP3K19,251,905,23,4755,0.010313184,0.027859349,0.018593371,0.02322636
128,NEK5,308,353,4,348,0.011494253,0.022988506,0.022988506,0.022988506
225,CSNK1G3,59,66,5,219,0.00456621,0.02283105,0.02283105,0.02283105
32,CHEK2,80,140,9,1134,0.008126731,0.023105415,0.022093415,0.022599415
101,MAP3K1,243,272,32,2838,0.001409443,0.022551092,0.022551092,0.022551092
102,MAP3K12,246,275,7,626,0.006389776,0.022364217,0.022364217,0.022364217
159,RIPK3,393,448,4,378,0.010582011,0.021164021,0.021164021,0.021164021
47,DYRK3,115,125,8,758,0.005277045,0.021108179,0.021108179,0.021108179
274,NIM1K,183,214,5,240,0.004166667,0.020833333,0.020833333,0.020833333
93,LATS1,221,248,19,1840,0.002173913,0.020652174,0.020652174,0.020652174
67,FER,156,273,14,1779,0.005874522,0.020943015,0.019178082,0.020060549
57,EPHA5,135,382,16,3870,0.006520261,0.02095782,0.018852646,0.019905233
226,CSNK2A1,60,67,4,201,0.004975124,0.019900498,0.019900498,0.019900498
184,TGFBR2,446,508,9,906,0.004415011,0.01986755,0.01986755,0.01986755
126,NEK11,303,348,4,404,0.00990099,0.01980198,0.01980198,0.01980198
16,BRSK1,41,44,4,416,0.00962963,0.01962963,0.01962963,0.01962963
59,EPHA7,139,153,15,1612,0.00248139,0.018610422,0.018610422,0.018610422
154,PRKG2,378,862,11,2422,0.006609901,0.018454233,0.017741935,0.018098084
135,PAK7,330,379,11,1226,0.003262643,0.017944535,0.017944535,0.017944535
10,AMHR2,22,23,7,780,0.005128205,0.017948718,0.01758794,0.017768329
238,GSK3B,107,121,4,226,0.004424779,0.017699115,0.017699115,0.017699115
221,CDKL3,47,52,3,170,0.005882353,0.017647059,0.017647059,0.017647059
55,EPHA3,131,142,14,1588,0.002518892,0.017632242,0.017632242,0.017632242
140,PDIK1L,340,389,4,456,0.00877193,0.01754386,0.01754386,0.01754386
73,FRK,172,192,7,806,0.004962779,0.017369727,0.017369727,0.017369727
74,FYN,174,275,7,1198,0.007542922,0.018041609,0.016055046,0.017048328
127,NEK4,306,351,3,352,0.011363636,0.017045455,0.017045455,0.017045455
3,ACVR1B,5,8,7,1234,0.007310049,0.01747549,0.016470588,0.016973039
89,JAK2,212,236,17,2048,0.001953125,0.016601563,0.016601563,0.016601563
179,TBK1,436,492,3,366,0.010928962,0.016393443,0.016393443,0.016393443
22,CDC42BPB,53,56,4,492,0.008130081,0.016260163,0.016260163,0.016260163
305,SIK2,240,281,3,186,0.005376344,0.016129032,0.016129032,0.016129032
33,CHUK,33,34,3,191,0.005235602,0.015706806,0.015706806,0.015706806
223,CSNK1A1L,57,64,3,191,0.005235602,0.015706806,0.015706806,0.015706806
243,IKBKB,114,130,3,192,0.005208333,0.015625,0.015625,0.015625
309,STK26,247,288,3,189,0.005291005,0.015873016,0.015321347,0.015597181
103,MAP3K13,248,277,5,646,0.00619195,0.015479876,0.015479876,0.015479876
176,STK4,431,487,3,388,0.010309278,0.015463918,0.015463918,0.015463918
112,MAPK8,268,305,3,390,0.01025641,0.015384615,0.015384615,0.015384615
35,CLK1,85,92,6,782,0.00511509,0.015345269,0.015345269,0.015345269
51,EIF2AK2,122,133,7,916,0.004366812,0.015283843,0.015283843,0.015283843
151,PRKCH,369,421,8,1048,0.003816794,0.015267176,0.015267176,0.015267176
142,PHKG2,344,393,3,394,0.010152284,0.015228426,0.015228426,0.015228426
181,TEK,440,1494,15,5666,0.006382247,0.015531848,0.014880952,0.0152064
71,FLT3,168,188,13,1716,0.002331002,0.015151515,0.015151515,0.015151515
56,EPHA4,133,144,12,1588,0.002518892,0.01511335,0.01511335,0.01511335
91,KDR,217,243,16,2150,0.001860465,0.014883721,0.014883721,0.014883721
49,EGFR,118,180,13,2607,0.003454339,0.014766556,0.014705882,0.014736219
23,CDK10,56,59,3,416,0.009615385,0.014423077,0.014423077,0.014423077
44,DCLK1,106,115,8,1114,0.003590664,0.014362657,0.014362657,0.014362657
78,GRK5,182,203,5,710,0.005633803,0.014084507,0.014084507,0.014084507
81,HCK,189,333,6,1280,0.007031259,0.01405702,0.014051522,0.014054271
58,EPHA6,137,151,13,1880,0.00212766,0.013829787,0.013829787,0.013829787
17,BTK,43,46,8,1168,0.003427562,0.013810023,0.013710248,0.013760135
174,STK38,427,483,4,584,0.006849315,0.01369863,0.01369863,0.01369863
145,PLK1,355,406,3,442,0.009049774,0.013574661,0.013574661,0.013574661
64,ERBB4,150,233,12,2611,0.00345056,0.01356292,0.013483146,0.013523033
278,NUAK1,189,223,3,222,0.004504505,0.013513514,0.013513514,0.013513514
106,MAP3K4,255,754,20,7448,0.003357623,0.013596698,0.013227513,0.013412106
87,ITK,208,232,7,1056,0.003787879,0.013257576,0.013257576,0.013257576
105,MAP3K2,253,286,7,1062,0.003766478,0.013182674,0.013182674,0.013182674
75,GAK,176,197,3,460,0.008695652,0.013043478,0.013043478,0.013043478
130,NLK,314,359,4,620,0.006451613,0.012903226,0.012903226,0.012903226
169,STK17A,413,469,3,466,0.008583691,0.012875536,0.012875536,0.012875536
271,NEK10,176,207,9,699,0.001430615,0.012875536,0.012875536,0.012875536
8,AKT3,18,19,4,632,0.006329114,0.012658228,0.012658228,0.012658228
196,WEE2,478,541,5,806,0.004962779,0.012406948,0.012406948,0.012406948
131,NTRK3,319,588,9,2162,0.004162926,0.012458083,0.011764706,0.012111394
92,KIT,219,392,10,2509,0.003587105,0.011958919,0.011918951,0.011938935
173,STK36,173,188,2,170,0.005882353,0.011764706,0.011764706,0.011764706
29,CDK5,72,78,2,342,0.011695906,0.011695906,0.011695906,0.011695906
85,IRAK3,204,228,4,686,0.005830904,0.011661808,0.011661808,0.011661808
27,CDK2,68,74,2,344,0.011627907,0.011627907,0.011627907,0.011627907
138,PDGFRA,336,385,10,1730,0.002312139,0.011560694,0.011560694,0.011560694
38,CLK4,91,98,4,694,0.005763689,0.011527378,0.011527378,0.011527378
192,TXK,466,529,5,872,0.004587156,0.01146789,0.01146789,0.01146789
36,CLK2,87,94,4,699,0.005722472,0.011436758,0.011420431,0.011428595
284,pk,205,240,2,176,0.005681818,0.011363636,0.011363636,0.011363636
98,LRRK2,233,260,23,4084,0.000979432,0.011263467,0.011263467,0.011263467
207,BRAF,24,27,7,623,0.001605136,0.011235955,0.011235955,0.011235955
70,FLT1,166,186,12,2138,0.001870907,0.011225444,0.011225444,0.011225444
86,IRAK4,206,230,4,716,0.005586592,0.011173184,0.011173184,0.011173184
120,MET,285,455,14,3777,0.002382951,0.011150579,0.011071462,0.01111102
183,TGFBR1,444,1010,4,1374,0.011792979,0.011792979,0.010416949,0.011104964
1,ABL2,2,2,5,874,0.004584437,0.011177844,0.010989011,0.011083427
24,CDK12,59,128,10,3618,0.004422334,0.011054613,0.011049724,0.011052168
76,GRK1,178,199,4,724,0.005524862,0.011049724,0.011049724,0.011049724
190,TSSK6,460,523,2,362,0.011049724,0.011049724,0.011049724,0.011049724
125,MYLK4,299,344,3,546,0.007326007,0.010989011,0.010989011,0.010989011
66,ERN2,154,268,8,2114,0.004277425,0.011052493,0.010840108,0.010946301
83,IKBKE,198,221,2,366,0.010928962,0.010928962,0.010928962,0.010928962
306,SNRK,241,282,2,184,0.005434783,0.010869565,0.010869565,0.010869565
133,PAK3,326,602,5,1352,0.006664443,0.010937948,0.010683761,0.010810854
178,TAOK3,178,193,2,188,0.005319149,0.010638298,0.010638298,0.010638298
194,ULK3,473,536,2,377,0.01061912,0.01061912,0.01061912,0.01061912
311,STK32B,250,291,2,190,0.005263158,0.010526316,0.010526316,0.010526316
122,MUSK,292,866,8,3758,0.006666201,0.010565775,0.010362694,0.010464234
291,PRKCE,216,254,6,577,0.001733102,0.010398614,0.010398614,0.010398614
80,GSK3A,186,207,3,578,0.006920415,0.010380623,0.010380623,0.010380623
84,INSRR,201,225,12,2324,0.00172117,0.010327022,0.010327022,0.010327022
163,ROS1,400,733,22,6387,0.001409115,0.010326442,0.010323792,0.010325117
201,ANKK1,13,14,2,194,0.005154639,0.010309278,0.010309278,0.010309278
124,MYLK3,297,342,7,1364,0.002932551,0.01026393,0.01026393,0.01026393
172,STK33,424,480,3,586,0.006825939,0.010238908,0.010238908,0.010238908
111,MAPK4,111,241,2,394,0.010152546,0.010152546,0.01010101,0.010126778
96,LIMK2,227,254,5,990,0.004040404,0.01010101,0.01010101,0.01010101
260,MAP4K4,154,181,2,198,0.005050505,0.01010101,0.01010101,0.01010101
11,AURKA,26,27,3,598,0.006688963,0.010033445,0.010033445,0.010033445
13,BLK,31,33,4,810,0.004938272,0.009876543,0.009876543,0.009876543
216,CDK19,40,45,2,203,0.004926108,0.009852217,0.009852217,0.009852217
308,STK17B,245,286,2,205,0.004878049,0.009756098,0.009756098,0.009756098
129,NEK7,310,355,2,412,0.009708738,0.009708738,0.009708738,0.009708738
141,PHKG1,342,391,2,388,0.010309278,0.010309278,0.008849558,0.009579418
317,TTBK1,271,315,2,209,0.004784689,0.009569378,0.009569378,0.009569378
88,JAK1,210,234,10,2102,0.00190295,0.009514748,0.009514748,0.009514748
19,CAMK4,19,19,2,211,0.004739336,0.009478673,0.009478673,0.009478673
7,AKT1,16,17,3,638,0.006269592,0.009404389,0.009404389,0.009404389
180,TEC,438,494,5,1070,0.003738318,0.009345794,0.009345794,0.009345794
45,DDR2,110,120,7,1514,0.002642008,0.009247028,0.009247028,0.009247028
280,PAK1,191,225,4,434,0.002304147,0.00921659,0.00921659,0.00921659
137,PBK,334,383,2,432,0.009259259,0.009259259,0.009034916,0.009147088
264,MARK2,159,186,2,219,0.00456621,0.00913242,0.00913242,0.00913242
310,STK3,248,289,2,219,0.00456621,0.00913242,0.00913242,0.00913242
322,VRK2,280,324,2,220,0.004545455,0.009090909,0.009090909,0.009090909
273,NEK9,182,213,2,221,0.004524887,0.009049774,0.009049774,0.009049774
275,NRK,185,216,2,222,0.004504505,0.009009009,0.009009009,0.009009009
254,MAP2K6,141,163,2,223,0.004484305,0.00896861,0.00896861,0.00896861
182,TESK2,442,502,2,452,0.008849558,0.008849558,0.008849558,0.008849558
253,MAP2K3,139,321,2,439,0.009151553,0.009151553,0.008547009,0.008849281
61,EPHB1,143,157,7,1588,0.002518892,0.008816121,0.008816121,0.008816121
191,TTK,464,527,6,1384,0.002890173,0.00867052,0.008658009,0.008664264
60,EPHA8,141,155,7,1616,0.002475248,0.008663366,0.008663366,0.008663366
195,VRK1,195,214,2,231,0.004329004,0.008658009,0.008658009,0.008658009
241,HUNK,112,127,2,233,0.004291845,0.008583691,0.008583691,0.008583691
262,MAPKAPK2,157,184,2,233,0.004291845,0.008583691,0.008583691,0.008583691
39,CSK,94,101,3,712,0.005617978,0.008426966,0.008426966,0.008426966
77,GRK4,180,201,3,712,0.005617978,0.008426966,0.008426966,0.008426966
289,PRKACB,213,501,2,452,0.009008291,0.009008291,0.0078125,0.008410395
90,KALRN,215,526,21,9672,0.001923793,0.008408989,0.008401272,0.008405131
12,AXL,29,49,6,2148,0.004190092,0.008362554,0.008344924,0.008353739
6,ADRBK2,14,15,3,720,0.005555556,0.008333333,0.008333333,0.008333333
72,FLT4,170,190,9,2168,0.001845018,0.008302583,0.008302583,0.008302583
315,TNK2,266,310,3,363,0.002754821,0.008264463,0.008264463,0.008264463
82,HIPK3,193,215,3,738,0.005420054,0.008130081,0.008130081,0.008130081
50,EIF2AK1,120,131,4,1000,0.004,0.008,0.008,0.008
119,MERTK,283,321,6,1540,0.002597403,0.007792208,0.007792208,0.007792208
299,PTK2,228,535,4,856,0.005477068,0.008855446,0.006725942,0.007790694
69,FGFR2,161,360,5,2461,0.006560228,0.008043907,0.007420602,0.007732255
9,ALK,20,21,10,2598,0.001539646,0.007698229,0.007698229,0.007698229
266,MKNK2,166,193,2,260,0.003846154,0.007692308,0.007692308,0.007692308
302,ROCK2,235,275,2,260,0.003846154,0.007692308,0.007692308,0.007692308
54,EPHA2,129,140,6,1574,0.002541296,0.007623888,0.007623888,0.007623888
161,ROR1,397,452,5,1324,0.003021148,0.00755287,0.00755287,0.00755287
34,CIT,83,90,2,534,0.007490637,0.007490637,0.007490637,0.007490637
205,BMPR1B,21,47,3,792,0.005057762,0.007490852,0.00729927,0.007395061
165,SGK494,165,180,2,273,0.003663004,0.007326007,0.007326007,0.007326007
68,FES,158,278,5,1909,0.004728096,0.007758399,0.006849315,0.007303857
132,PAK2,324,372,3,826,0.004842615,0.007263923,0.007263923,0.007263923
285,PKMYT1,206,241,2,277,0.003610108,0.007220217,0.007220217,0.007220217
107,MAP3K5,257,293,6,1698,0.002355713,0.007067138,0.007067138,0.007067138
52,EIF2AK3,124,135,7,1988,0.002012072,0.007042254,0.007042254,0.007042254
