"","Var1","X.x","Freq.x","X.y","Freq.y"
"1","AAK1",1,0,1,0
"2","AATK",2,1,2,1
"3","ABL1",3,2,7,1
"4","ABL2",4,3,8,0
"5","ACVR1",5,1,13,0
"6","ACVR1B",6,5,14,1
"7","ACVR1C",7,1,15,2
"8","ACVR2A",8,3,16,0
"9","ACVR2B",9,0,17,0
"10","ACVRL1",10,3,18,2
"11","ADRBK1",11,2,40,1
"12","ADRBK2",12,1,41,1
"13","AKT1",13,1,53,1
"14","AKT2",14,3,54,2
"15","AKT3",15,0,55,0
"16","ALK",16,1,57,1
"17","AMHR2",17,3,62,0
"18","ANKK1",18,0,66,0
"19","ARAF",19,0,71,1
"20","ATM",20,0,89,0
"21","ATR",21,0,95,0
"22","AURKA",22,1,97,1
"23","AURKB",23,1,98,0
"24","AURKC",24,0,99,2
"25","AXL",25,1,102,0
"26","BLK",26,0,134,2
"27","BMP2K",27,0,139,1
"28","BMPR1A",28,0,141,0
"29","BMPR1B",29,1,142,1
"30","BMPR2",30,1,143,1
"31","BMX",31,1,144,1
"32","BRAF",32,13,147,3
"33","BRSK1",33,4,157,1
"34","BRSK2",34,2,158,1
"35","BTK",35,2,160,0
"36","BUB1",36,0,162,0
"37","BUB1B",37,0,163,0
"38","CAMK1",38,0,177,0
"39","CAMK1D",39,2,178,1
"40","CAMK1G",40,1,179,0
"41","CAMK2A",41,1,180,0
"42","CAMK2B",42,1,181,0
"43","CAMK2D",43,1,182,0
"44","CAMK2G",44,3,183,0
"45","CAMK4",45,3,184,1
"46","CAMKK1",46,1,185,0
"47","CAMKK2",47,1,186,0
"48","CDC42BPA",48,2,238,0
"49","CDC42BPB",49,0,239,0
"50","CDC42BPG",50,1,240,0
"51","CDC7",51,0,242,0
"52","CDK1",52,0,248,0
"53","CDK10",53,1,249,1
"54","CDK11A",54,0,250,0
"55","CDK12",55,2,252,0
"56","CDK13",56,3,253,1
"57","CDK14",57,0,254,0
"58","CDK15",58,4,255,0
"59","CDK16",59,0,256,0
"60","CDK17",60,3,257,1
"61","CDK18",61,2,258,1
"62","CDK19",62,1,259,0
"63","CDK2",63,1,260,0
"64","CDK20",64,1,261,1
"65","CDK3",65,0,262,0
"66","CDK4",66,1,263,1
"67","CDK5",67,2,264,0
"68","CDK6",68,0,265,1
"69","CDK7",69,2,266,0
"70","CDK8",70,3,267,3
"71","CDK9",71,0,268,0
"72","CDKL1",72,2,269,0
"73","CDKL2",73,1,270,1
"74","CDKL3",74,0,271,0
"75","CDKL4",75,2,272,1
"76","CDKL5",76,1,273,0
"77","CHEK1",77,1,288,0
"78","CHEK2",78,5,289,3
"79","CHUK",79,1,296,0
"80","CIT",80,0,299,1
"81","CLK1",81,1,300,0
"82","CLK2",82,0,301,1
"83","CLK3",83,0,302,0
"84","CLK4",84,0,303,0
"85","CSF1R",85,0,328,0
"86","CSK",86,0,332,1
"87","CSNK1A1",87,2,334,1
"88","CSNK1A1L",88,1,335,1
"89","CSNK1D",89,2,336,2
"90","CSNK1E",90,6,337,0
"91","CSNK1G1",91,1,338,1
"92","CSNK1G2",92,1,339,0
"93","CSNK1G3",93,3,340,1
"94","CSNK2A1",94,3,341,0
"95","CSNK2A2",95,2,342,0
"96","DAPK1",96,2,378,1
"97","DAPK2",97,1,379,0
"98","DAPK3",98,0,380,0
"99","DCLK1",99,1,384,1
"100","DCLK2",100,2,385,1
"101","DCLK3",101,1,386,0
"102","DDR1",102,2,389,0
"103","DDR2",103,1,390,0
"104","DMPK",104,3,409,0
"105","DSTYK",105,0,418,0
"106","DYRK1A",106,2,422,1
"107","DYRK1B",107,1,423,0
"108","DYRK2",108,0,424,0
"109","DYRK3",109,7,425,0
"110","DYRK4",110,1,426,1
"111","EGFR",111,5,435,0
"112","EIF2AK1",112,0,437,0
"113","EIF2AK2",113,0,438,0
"114","EIF2AK3",114,2,439,0
"115","EIF2AK4",115,1,440,0
"116","EPHA1",116,1,461,0
"117","EPHA2",117,2,463,3
"118","EPHA3",118,4,464,2
"119","EPHA4",119,2,465,0
"120","EPHA5",120,2,466,0
"121","EPHA6",121,1,467,1
"122","EPHA7",122,3,468,1
"123","EPHA8",123,0,469,0
"124","EPHB1",124,10,470,1
"125","EPHB2",125,2,471,0
"126","EPHB3",126,1,472,0
"127","EPHB4",127,3,473,0
"128","ERBB2",128,2,477,0
"129","ERBB4",129,4,479,1
"130","ERN1",130,1,488,0
"131","ERN2",131,6,489,0
"132","FER",132,4,528,1
"133","FES",133,3,529,0
"134","FGFR1",134,3,537,0
"135","FGFR2",135,3,539,2
"136","FGFR3",136,2,540,0
"137","FGFR4",137,1,541,0
"138","FGR",138,1,542,1
"139","FLT1",139,1,553,1
"140","FLT3",140,0,554,0
