"","Var1","Freq"
"1","AAK1",0
"2","AATK",0
"3","ABL1",0
"4","ABL2",4
"5","ACVR1",0
"6","ACVR1B",0
"7","ACVR1C",1
"8","ACVR2A",8
"9","ACVR2B",1
"10","ACVRL1",2
"11","ADRBK1",1
"12","ADRBK2",1
"13","AKT1",1
"14","AKT2",1
"15","AKT3",2
"16","ALK",9
"17","AMHR2",7
"18","ANKK1",2
"19","ARAF",2
"20","ATM",0
"21","ATR",0
"22","AURKA",2
"23","AURKB",0
"24","AURKC",1
"25","AXL",3
"26","BLK",2
"27","BMP2K",1
"28","BMPR1A",1
"29","BMPR1B",1
"30","BMPR2",10
"31","BMX",4
"32","BRAF",8
"33","BRSK1",3
"34","BRSK2",0
"35","BTK",5
"36","BUB1",0
"37","BUB1B",0
"38","CAMK1",0
"39","CAMK1D",2
"40","CAMK1G",0
"41","CAMK2A",1
"42","CAMK2B",0
"43","CAMK2D",2
"44","CAMK2G",0
"45","CAMK4",1
"46","CAMKK1",1
"47","CAMKK2",0
"48","CDC42BPA",0
"49","CDC42BPB",3
"50","CDC42BPG",1
"51","CDC7",0
"52","CDK1",1
"53","CDK10",1
"54","CDK11A",2
"55","CDK12",9
"56","CDK13",0
"57","CDK14",0
"58","CDK15",0
"59","CDK16",0
"60","CDK17",1
"61","CDK18",1
"62","CDK19",2
"63","CDK2",1
"64","CDK20",0
"65","CDK3",0
"66","CDK4",0
"67","CDK5",1
"68","CDK6",1
"69","CDK7",0
"70","CDK8",1
"71","CDK9",0
"72","CDKL1",1
"73","CDKL2",0
"74","CDKL3",3
"75","CDKL4",0
"76","CDKL5",0
"77","CHEK1",0
"78","CHEK2",7
"79","CHUK",0
"80","CIT",1
"81","CLK1",0
"82","CLK2",0
"83","CLK3",2
"84","CLK4",3
"85","CSF1R",2
"86","CSK",1
"87","CSNK1A1",2
"88","CSNK1A1L",3
"89","CSNK1D",0
"90","CSNK1E",0
"91","CSNK1G1",2
"92","CSNK1G2",0
"93","CSNK1G3",5
"94","CSNK2A1",5
"95","CSNK2A2",0
"96","DAPK1",0
"97","DAPK2",1
"98","DAPK3",0
"99","DCLK1",7
"100","DCLK2",1
"101","DCLK3",2
"102","DDR1",0
"103","DDR2",5
"104","DMPK",0
"105","DSTYK",1
"106","DYRK1A",2
"107","DYRK1B",0
"108","DYRK2",0
"109","DYRK3",5
"110","DYRK4",0
"111","EGFR",9
"112","EIF2AK1",4
"113","EIF2AK2",6
"114","EIF2AK3",4
"115","EIF2AK4",5
"116","EPHA1",5
"117","EPHA2",5
"118","EPHA3",12
"119","EPHA4",12
"120","EPHA5",10
"121","EPHA6",10
"122","EPHA7",12
"123","EPHA8",5
"124","EPHB1",4
"125","EPHB2",0
"126","EPHB3",0
"127","EPHB4",3
"128","ERBB2",0
"129","ERBB4",12
"130","ERN1",1
"131","ERN2",5
"132","FER",13
"133","FES",3
"134","FGFR1",0
"135","FGFR2",2
"136","FGFR3",1
"137","FGFR4",3
"138","FGR",3
"139","FLT1",9
"140","FLT3",13
"141","FLT4",8
"142","FRK",4
"143","FYN",6
"144","GAK",3
"145","GRK1",3
"146","GRK4",2
"147","GRK5",4
"148","GRK6",0
"149","GRK7",1
"150","GSK3A",2
"151","GSK3B",4
"152","HCK",5
"153","HIPK1",2
"154","HIPK2",2
"155","HIPK3",4
"156","HIPK4",1
"157","HUNK",2
"158","ICK",0
"159","IGF1R",4
"160","IKBKB",4
"161","IKBKE",2
"162","INSR",5
"163","INSRR",11
"164","IRAK1",2
"165","IRAK3",3
"166","IRAK4",4
"167","ITK",5
"168","JAK1",7
"169","JAK2",19
"170","JAK3",3
"171","KALRN",2
"172","KDR",13
"173","KIAA1804",1
"174","KIT",8
"175","LATS1",15
"176","LATS2",3
"177","LCK",2
"178","LIMK1",0
"179","LIMK2",4
"180","LMTK2",2
"181","LMTK3",2
"182","LRRK1",6
"183","LRRK2",17
"184","LTK",4
"185","LYN",2
"186","MAK",1
"187","MAP2K1",1
"188","MAP2K2",0
"189","MAP2K3",2
"190","MAP2K4",8
"191","MAP2K5",0
"192","MAP2K6",2
"193","MAP2K7",0
"194","MAP3K1",30
