"","Var1","Freq"
"1","ABL2-010_455",4
"2","ACVR1B-004_425",6
"3","ACVR1C-001_372",1
"4","ACVR2A-002_369",8
"5","ACVR2B-001_368",1
"6","ACVRL1-001_379",1
"7","ADRBK1-011_360",1
"8","ADRBK2-201_360",1
"9","AKT1-002_319",1
"10","AKT3-002_316",2
"11","ALK-001_1299",9
"12","AMHR2-002_398",5
"13","ANKK1-001_194",2
"14","ARAF-001_476",2
"15","AURKA-201_299",2
"16","AURKC-001_209",1
"17","AXL-001_719",3
"18","BLK-001_405",2
"19","BMP2K-202_233",1
"20","BMPR1A-001_411",1
"21","BMPR1B-201_411",3
"22","BMPR2-001_386",10
"23","BMX-001_582",4
"24","BRAF-001_623",7
"25","BRSK1-002_200",3
"26","BTK-006_567",4
"27","BTK-203_601",1
"28","CAMK1D-001_191",1
"29","CAMK2A-002_183",1
"30","CAMK2D-008_184",1
"31","CAMKK1-002_358",1
"32","CDC42BPB-001_246",3
"33","CDK1-202_173",1
"34","CDK10-001_208",1
"35","CDK11A-001_592",1
"36","CDK11A-005_595",1
"37","CDK12-001_905",8
"38","CDK14-002_283",1
"39","CDK16-201_405",1
"40","CDK17-001_358",1
"41","CDK18-006_340",1
"42","CDK19-001_203",2
"43","CDK2-001_172",1
"44","CDK20-004_173",1
"45","CDK5-001_171",1
"46","CDK6-002_189",1
"47","CDK8-001_203",1
"48","CDKL1-003_172",1
"49","CDKL3-001_170",3
"50","CHEK2-003_437",1
"51","CHEK2-006_394",6
"52","CIT-001_267",1
"53","CLK1-007_391",4
"54","CLK2-002_350",3
"55","CLK3-003_492",2
"56","CLK4-001_347",3
"57","CSF1R-001_825",2
"58","CSK-002_356",1
"59","CSNK1A1-003_219",3
"60","CSNK1A1L-001_191",3
"61","CSNK1G1-003_221",1
"62","CSNK1G3-009_219",5
"63","CSNK2A1-009_201",4
"64","DAPK2-202_197",1
"65","DCLK1-010_557",6
"66","DCLK2-003_578",2
"67","DCLK3-001_523",2
"68","DDR2-002_757",5
"69","DSTYK-002_819",1
"70","DYRK1A-008_331",1
"71","DYRK3-001_379",5
"72","EGFR-001_884",9
"73","EIF2AK1-001_500",3
"74","EIF2AK2-201_458",6
"75","EIF2AK3-001_994",4
"76","EIF2AK4-001_911",5
"77","EPHA1-001_796",5
"78","EPHA2-001_787",5
"79","EPHA3-001_794",11
"80","EPHA4-201_794",10
"81","EPHA5-001_848",5
"82","EPHA5-004_849",5
"83","EPHA6-002_940",10
"84","EPHA7-001_806",11
"85","EPHA8-001_808",5
"86","EPHB1-005_794",4
"87","EPHB2-002_797",1
"88","EPHB4-001_790",2
"89","ERBB2-008_892",1
"90","ERBB4-001_890",9
"91","ERN1-001_741",1
"92","ERN2-001_738",5
"93","FER-001_730",13
"94","FES-001_730",3
"95","FGFR1-202_701",1
"96","FGFR2-011_674",1
"97","FGFR2-201_673",1
"98","FGFR3-006_685",1
"99","FGFR4-001_659",3
"100","FGR-002_428",3
"101","FLT1-001_1069",8
"102","FLT3-001_858",12
"103","FLT4-003_1084",8
"104","FRK-001_403",4
"105","FYN-001_436",5
"106","GAK-001_230",2
"107","GRK1-001_362",3
"108","GRK4-001_356",2
"109","GRK5-002_355",4
"110","GRK7-001_360",1
"111","GSK3A-001_289",2
"112","GSK3B-002_226",4
"113","HCK-001_427",5
"114","HIPK1-004_362",2
"115","HIPK2-001_371",2
"116","HIPK3-002_369",2
"117","HUNK-001_233",2
"118","IGF1R-001_1182",4
"119","IKBKB-004_192",3
"120","IKBKE-004_183",1
"121","INSR-001_1206",5
"122","INSRR-001_1162",11
"123","IRAK1-001_394",1
"124","IRAK1-020_420",1
"125","IRAK3-001_343",3
"126","IRAK4-002_358",3
"127","ITK-001_528",5
"128","JAK1-001_1051",7
"129","JAK2-001_1024",15
"130","JAK3-201_997",2
"131","KALRN-001_1153",2
"132","KALRN-201_2850",13
"133","KDR-001_1075",12
"134","KIT-001_839",8
"135","LATS1-005_920",13
"136","LATS2-001_883",3
"137","LCK-004_440",2
"138","LIMK2-004_495",4
"139","LMTK2-001_312",2
"140","LMTK3-001_342",2
"141","LRRK1-003_1434",6
