"","Var1","Freq"
"1","ABL2-001_455",1
"2","ACVR1-009_385",1
"3","ACVR1B-004_425",1
"4","ACVR2A-001_369",3
"5","ACVR2B-001_368",1
"6","ADRBK2-201_360",2
"7","AKT1-006_319",2
"8","AKT3-002_316",2
"9","ALK-001_1299",1
"10","AMHR2-002_398",2
"11","AURKA-005_299",1
"12","AXL-001_719",3
"13","BLK-001_405",2
"14","BMPR1A-001_411",1
"15","BMPR2-001_386",2
"16","BRSK1-004_216",1
"17","BTK-203_601",3
"18","CAMK2B-009_184",1
"19","CAMK4-004_211",2
"20","CAMKK2-004_357",1
"21","CDC42BPA-003_247",1
"22","CDC42BPB-001_246",1
"23","CDK10-001_208",2
"24","CDK12-001_905",2
"25","CDK14-001_301",1
"26","CDK18-006_340",1
"27","CDK2-007_172",1
"28","CDK3-001_172",1
"29","CDK5-001_171",1
"30","CDKL4-001_170",1
"31","CDKL5-001_181",1
"32","CHEK2-003_437",2
"33","CHUK-001_191",3
"34","CIT-005_267",1
"35","CLK1-007_391",2
"36","CLK2-001_351",1
"37","CLK3-003_492",1
"38","CLK4-001_347",1
"39","CSK-001_356",2
"40","CSNK1A1-003_219",2
"41","CSNK1G2-001_222",1
"42","CSNK2A2-001_202",1
"43","DAPK3-001_187",1
"44","DCLK1-006_557",2
"45","DDR2-002_757",2
"46","DYRK2-001_392",1
"47","DYRK3-001_379",3
"48","DYRK4-003_389",1
"49","EGFR-001_884",4
"50","EIF2AK1-001_500",1
"51","EIF2AK2-001_458",1
"52","EIF2AK3-001_994",3
"53","EIF2AK4-001_911",1
"54","EPHA2-001_787",1
"55","EPHA3-001_794",3
"56","EPHA4-003_794",2
"57","EPHA5-004_849",6
"58","EPHA6-002_940",3
"59","EPHA7-001_806",4
"60","EPHA8-001_808",2
"61","EPHB1-005_794",3
"62","EPHB2-001_796",2
"63","EPHB4-005_790",1
"64","ERBB4-002_890",3
"65","ERN1-001_741",1
"66","ERN2-001_738",3
"67","FER-001_730",1
"68","FES-001_730",2
"69","FGFR2-011_674",3
"70","FLT1-001_1069",4
"71","FLT3-001_858",1
"72","FLT4-002_1084",1
"73","FRK-001_403",3
"74","FYN-001_436",2
"75","GAK-001_230",1
"76","GRK1-001_362",1
"77","GRK4-001_356",1
"78","GRK5-002_355",1
"79","GRK7-001_360",1
"80","GSK3A-003_289",1
"81","HCK-201_427",1
"82","HIPK3-001_369",1
"83","IKBKE-001_183",1
"84","INSRR-001_1162",1
"85","IRAK3-001_343",1
"86","IRAK4-002_358",1
"87","ITK-001_528",2
"88","JAK1-001_1051",3
"89","JAK2-001_1024",2
"90","KALRN-201_2850",6
"91","KDR-001_1075",4
"92","KIT-001_839",2
"93","LATS1-001_920",6
"94","LATS2-001_883",1
"95","LIMK1-002_549",1
"96","LIMK2-004_495",1
"97","LRRK1-003_1434",3
"98","LRRK2-004_2042",6
"99","MAP2K4-002_284",3
"100","MAP2K5-001_326",1
"101","MAP3K1-001_1419",3
"102","MAP3K12-005_313",2
"103","MAP3K13-003_323",4
"104","MAP3K19-001_1237",5
"105","MAP3K2-002_531",1
"106","MAP3K4-001_1512",5
"107","MAP3K5-001_849",1
"108","MAP3K9-001_319",1
"109","MAP4K5-001_185",1
"110","MAPK13-001_192",1
"111","MAPK4-002_198",2
"112","MAPK8-201_195",1
"113","MARK1-201_226",1
"114","MAST1-001_557",1
"115","MAST2-001_695",2
"116","MAST3-001_550",1
"117","MAST4-002_564",1
"118","MATK-202_395",1
"119","MERTK-201_770",3
"120","MET-001_1271",3
"121","MST1R-001_1257",1
"122","MUSK-001_772",2
"123","MYLK-001_1631",3
"124","MYLK3-001_682",3
"125","MYLK4-001_273",1
"126","NEK11-006_202",3
"127","NEK4-001_176",1
"128","NEK5-201_174",1
"129","NEK7-006_206",1
"130","NLK-001_310",3
"131","NTRK3-019_765",2
"132","PAK2-001_413",1
"133","PAK3-202_468",1
"134","PAK6-001_571",1
"135","PAK7-003_613",2
"136","PASK-004_1179",1
"137","PBK-002_227",1
"138","PDGFRA-001_865",1
"139","PDGFRB-001_873",1
"140","PDIK1L-001_228",1
"141","PHKG1-201_226",1
"142","PHKG2-009_197",1
"143","PKN1-002_791",2
"144","PKN2-001_827",1
"145","PLK1-001_221",1
"146","PLK2-001_250",1
"147","PLK4-001_181",1
"148","PRKACG-001_209",1
"149","PRKCA-002_508",1
"150","PRKCB-002_511",1
"151","PRKCH-001_524",2
"152","PRKCZ-001_421",2
"153","PRKD1-001_753",2
"154","PRKG2-001_620",4
"155","PRPF4B-001_859",1
"156","PTK2B-009_595",1
"157","PTK6-001_357",1
"158","RAF1-001_515",1
"159","RAF1-007_535",1
"160","RIPK3-002_189",1
"161","ROCK1-001_244",1
"162","ROR1-001_662",1
"163","ROR2-001_662",3
"164","ROS1-001_2131",4
"165","SGK3-201_331",2
"166","SGK494-017_273",2
"167","SIK1-001_193",1
"168","SRC-201_435",1
"169","STK11-001_223",2
"170","STK17A-001_233",2
"171","STK24-002_201",1
"172","STK32A-001_190",4
"173","STK33-004_293",1
"174","STK36-002_170",2
"175","STK38-001_292",1
"176","STK39-001_242",1
"177","STK4-006_194",1
"178","SYK-001_542",1
"179","TAOK3-002_188",2
"180","TBK1-001_183",2
"181","TEC-001_535",1
"182","TEK-002_1008",4
"183","TESK2-001_226",1
"184","TGFBR1-001_382",1
"185","TGFBR1-004_386",1
"186","TGFBR2-002_453",1
"187","TIE1-001_1023",2
"188","TLK2-004_647",2
"189","TNK1-002_293",1
"190","TRIO-001_2962",3
"191","TSSK1B-001_185",2
"192","TSSK6-002_181",1
"193","TTK-001_693",1
"194","TXK-001_436",2
"195","TYK2-201_1071",1
"196","ULK3-014_194",1
"197","VRK1-001_231",2
"198","WEE2-001_403",1
"199","ZAP70-001_509",1
