"","Gene","X.1","X","Freq","endCAT","oneoverendCAT","score"
"1","ABL2",2,2,5,910,0.0043956043956044,0.010989010989011
"2","ACVR1",2,2,1,385,0.0025974025974026,0.0025974025974026
"3","ACVR1B",5,5,7,850,0.00470588235294118,0.0164705882352941
"4","ACVR2A",8,8,11,738,0.005420054200542,0.029810298102981
"5","ACVR2B",10,10,2,736,0.00543478260869566,0.00543478260869566
"6","ADRBK2",14,14,3,720,0.00555555555555556,0.00833333333333334
"7","AKT1",16,16,3,638,0.00626959247648902,0.00940438871473354
"8","AKT3",18,18,4,632,0.00632911392405064,0.0126582278481013
"9","ALK",20,20,10,2598,0.00153964588144727,0.00769822940723633
"10","AMHR2",22,22,7,796,0.0050251256281407,0.0175879396984925
"11","AURKA",26,26,3,598,0.00668896321070234,0.0100334448160535
"12","AXL",29,29,6,1438,0.0027816411682893,0.00834492350486788
"13","BLK",31,31,4,810,0.00493827160493828,0.00987654320987654
"14","BMPR1A",34,34,2,822,0.0048661800486618,0.0048661800486618
"15","BMPR2",37,37,12,772,0.00518134715025906,0.0310880829015544
"16","BRSK1",41,41,4,416,0.00962962962962963,0.0196296296296296
"17","BTK",43,70,8,1769,0.00509145545196571,0.0137102477646016
"18","CAMK2B",18,18,1,184,0.00543478260869565,0.00543478260869565
"19","CAMK4",19,19,2,211,0.004739336492891,0.00947867298578199
"20","CAMKK2",20,20,1,357,0.00280112044817927,0.00280112044817927
"21","CDC42BPA",21,21,1,247,0.00404858299595142,0.00404858299595142
"22","CDC42BPB",53,54,4,492,0.008130081300813,0.016260162601626
"23","CDK10",56,57,3,416,0.00961538461538462,0.0144230769230769
"24","CDK12",59,61,10,1810,0.00220994475138122,0.0110497237569061
"25","CDK14",61,63,2,584,0.00685582804080626,0.00685582804080626
"26","CDK18",65,67,2,680,0.00588235294117648,0.00588235294117648
"27","CDK2",68,70,2,344,0.0116279069767442,0.0116279069767442
"28","CDK3",28,28,1,172,0.00581395348837209,0.00581395348837209
"29","CDK5",72,74,2,342,0.0116959064327485,0.0116959064327485
"30","CDKL4",30,30,1,170,0.00588235294117647,0.00588235294117647
"31","CDKL5",31,31,1,181,0.00552486187845304,0.00552486187845304
"32","CHEK2",80,133,9,1268,0.00711473010489145,0.0220934149542915
"33","CHUK",33,33,4,191,0.00523560209424084,0.0209424083769634
"34","CIT",83,86,2,534,0.00749063670411986,0.00749063670411986
"35","CLK1",85,88,6,782,0.0051150895140665,0.0153452685421995
"36","CLK2",87,90,4,701,0.00570614570614571,0.0114204314204314
"37","CLK3",89,92,4,984,0.0040650406504065,0.008130081300813
"38","CLK4",91,94,4,694,0.00576368876080692,0.0115273775216138
"39","CSK",94,97,3,712,0.00561797752808988,0.00842696629213483
"40","CSNK1A1",96,99,5,438,0.0091324200913242,0.0228310502283105
"41","CSNK1G2",41,41,1,222,0.0045045045045045,0.0045045045045045
"42","CSNK2A2",42,42,1,202,0.00495049504950495,0.00495049504950495
"43","DAPK3",43,43,1,187,0.0053475935828877,0.0053475935828877
"44","DCLK1",106,109,8,1114,0.00359066427289048,0.014362657091562
"45","DDR2",110,113,7,1514,0.00264200792602378,0.00924702774108323
"46","DYRK2",46,46,1,392,0.00255102040816327,0.00255102040816327
"47","DYRK3",115,118,8,758,0.00527704485488126,0.0211081794195251
"48","DYRK4",48,48,1,389,0.0025706940874036,0.0025706940874036
"49","EGFR",118,121,13,1768,0.00226244343891402,0.0147058823529412
"50","EIF2AK1",120,123,4,1000,0.004,0.008
"51","EIF2AK2",122,125,9,916,0.00436681222707424,0.0196506550218341
"52","EIF2AK3",124,127,7,1988,0.00201207243460764,0.00704225352112676
"53","EIF2AK4",126,129,6,1822,0.0021953896816685,0.00658616904500549
"54","EPHA2",129,132,6,1574,0.0025412960609911,0.00762388818297331
"55","EPHA3",131,134,14,1588,0.00251889168765744,0.0176322418136021
