"","Gene","X","Freq","endCAT","oneoverendCAT","score"
"1","ABL2",1,4,455,0.0021978021978022,0.00879120879120879
"2","ACVR1B",5,6,809,0.00495710784313725,0.0151225490196078
"3","ACVR1C",4,1,372,0.00268817204301075,0.00268817204301075
"4","ACVR2A",5,8,369,0.002710027100271,0.021680216802168
"5","ACVR2B",6,1,368,0.00271739130434783,0.00271739130434783
"6","ACVRL1",7,1,379,0.00263852242744063,0.00263852242744063
"7","ADRBK1",8,1,360,0.00277777777777778,0.00277777777777778
"8","ADRBK2",9,1,360,0.00277777777777778,0.00277777777777778
"9","AKT1",10,1,319,0.00313479623824451,0.00313479623824451
"10","AKT3",11,2,316,0.00316455696202532,0.00632911392405063
"11","ALK",12,9,1299,0.000769822940723634,0.0069284064665127
"12","AMHR2",13,5,390,0.00256410256410256,0.0128205128205128
"13","ANKK1",14,2,194,0.00515463917525773,0.0103092783505155
"14","ARAF",15,2,476,0.00210084033613445,0.00420168067226891
"15","AURKA",16,2,299,0.00334448160535117,0.00668896321070234
"16","AURKC",17,1,209,0.00478468899521531,0.00478468899521531
"17","AXL",37,3,1429,0.00279927128837,0.00419009187251464
"18","BLK",20,2,405,0.00246913580246914,0.00493827160493827
"19","BMP2K",21,1,233,0.00429184549356223,0.00429184549356223
"20","BMPR1A",22,1,411,0.0024330900243309,0.0024330900243309
"21","BMPR1B",47,3,792,0.0050577619403414,0.0074908519646723
"22","BMPR2",25,10,386,0.00259067357512953,0.0259067357512953
"23","BMX",26,4,582,0.00171821305841924,0.00687285223367698
"24","BRAF",27,7,623,0.00160513643659711,0.0112359550561798
"25","BRSK1",28,3,200,0.005,0.015
"26","BTK",29,5,567,0.0017636684303351,0.00881834215167548
"27","CAMK1D",30,1,191,0.00523560209424084,0.00523560209424084
"28","CAMK2A",31,1,183,0.00546448087431694,0.00546448087431694
"29","CAMK2D",32,1,184,0.00543478260869565,0.00543478260869565
"30","CAMKK1",33,1,358,0.00279329608938547,0.00279329608938547
"31","CDC42BPB",34,3,246,0.0040650406504065,0.0121951219512195
"32","CDK1",35,1,173,0.00578034682080925,0.00578034682080925
"33","CDK10",36,1,208,0.00480769230769231,0.00480769230769231
"34","CDK11A",75,2,1174,0.00340740224760843,0.00340740224760843
"35","CDK12",79,8,1809,0.00221116706595609,0.0088434459492495
"36","CDK14",41,1,283,0.00353356890459364,0.00353356890459364
"37","CDK16",42,1,405,0.00246913580246914,0.00246913580246914
"38","CDK17",43,1,358,0.00279329608938547,0.00279329608938547
"39","CDK18",44,1,340,0.00294117647058824,0.00294117647058824
"40","CDK19",45,2,203,0.00492610837438424,0.00985221674876847
"41","CDK2",46,1,172,0.00581395348837209,0.00581395348837209
