"","Var1","Freq"
"1","ABL2-010_455",4
"2","ACVR1B-004_425",2
"3","ACVR1B-005_384",4
"4","ACVR1C-001_372",1
"5","ACVR2A-002_369",8
"6","ACVR2B-001_368",1
"7","ACVRL1-001_379",1
"8","ADRBK1-011_360",1
"9","ADRBK2-201_360",1
"10","AKT1-002_319",1
"11","AKT3-002_316",2
"12","ALK-001_1299",9
"13","AMHR2-001_390",5
"14","ANKK1-001_194",2
"15","ARAF-001_476",2
"16","AURKA-201_299",2
"17","AURKC-001_209",1
"18","AXL-001_719",2
"19","AXL-002_710",1
"20","BLK-001_405",2
"21","BMP2K-202_233",1
"22","BMPR1A-001_411",1
"23","BMPR1B-005_381",1
"24","BMPR1B-201_411",2
"25","BMPR2-001_386",10
"26","BMX-001_582",4
"27","BRAF-001_623",7
"28","BRSK1-002_200",3
"29","BTK-006_567",5
"30","CAMK1D-001_191",1
"31","CAMK2A-002_183",1
"32","CAMK2D-008_184",1
"33","CAMKK1-002_358",1
"34","CDC42BPB-001_246",3
"35","CDK1-202_173",1
"36","CDK10-001_208",1
"37","CDK11A-001_592",1
"38","CDK11A-004_582",1
"39","CDK12-001_905",5
"40","CDK12-010_904",3
"41","CDK14-002_283",1
"42","CDK16-201_405",1
"43","CDK17-001_358",1
"44","CDK18-006_340",1
"45","CDK19-001_203",2
"46","CDK2-001_172",1
"47","CDK20-004_173",1
"48","CDK5-001_171",1
"49","CDK6-002_189",1
"50","CDK8-001_203",1
"51","CDKL1-003_172",1
"52","CDKL3-001_170",3
"53","CHEK2-006_394",6
"54","CHEK2-021_303",1
"55","CIT-001_267",1
"56","CLK1-007_391",4
"57","CLK2-002_350",3
"58","CLK3-003_492",2
"59","CLK4-001_347",3
"60","CSF1R-001_825",2
"61","CSK-002_356",1
"62","CSNK1A1-003_219",1
"63","CSNK1A1-201_191",2
"64","CSNK1A1L-001_191",3
"65","CSNK1G1-003_221",1
"66","CSNK1G3-009_219",5
"67","CSNK2A1-009_201",4
"68","DAPK2-202_197",1
"69","DCLK1-010_557",6
"70","DCLK2-002_560",1
"71","DCLK2-003_578",1
"72","DCLK3-001_523",2
"73","DDR2-002_757",5
"74","DSTYK-002_819",1
"75","DYRK1A-008_331",1
"76","DYRK3-001_379",5
"77","EGFR-001_884",9
"78","EIF2AK1-001_500",3
"79","EIF2AK2-201_458",6
"80","EIF2AK3-001_994",4
"81","EIF2AK4-001_911",5
"82","EPHA1-001_796",5
"83","EPHA2-001_787",5
"84","EPHA3-001_794",11
"85","EPHA4-201_794",10
"86","EPHA5-001_848",5
"87","EPHA5-002_826",2
"88","EPHA5-003_685",3
"89","EPHA6-002_940",10
"90","EPHA7-001_806",11
"91","EPHA8-001_808",5
"92","EPHB1-005_794",4
