"","Gene","X","Freq","endCAT","oneoverendCAT","score"
"1","ABL2",1,1,455,0.0021978021978022,0.0021978021978022
"2","ACVR1",2,1,385,0.0025974025974026,0.0025974025974026
"3","ACVR1B",3,1,425,0.00235294117647059,0.00235294117647059
"4","ACVR2A",4,3,369,0.002710027100271,0.00813008130081301
"5","ACVR2B",5,1,368,0.00271739130434783,0.00271739130434783
"6","ADRBK2",6,2,360,0.00277777777777778,0.00555555555555556
"7","AKT1",7,2,319,0.00313479623824451,0.00626959247648903
"8","AKT3",8,2,316,0.00316455696202532,0.00632911392405063
"9","ALK",9,1,1299,0.000769822940723634,0.000769822940723634
"10","AMHR2",10,2,398,0.00251256281407035,0.0050251256281407
"11","AURKA",11,1,299,0.00334448160535117,0.00334448160535117
"12","AXL",12,3,719,0.00139082058414465,0.00417246175243394
"13","BLK",13,2,405,0.00246913580246914,0.00493827160493827
"14","BMPR1A",14,1,411,0.0024330900243309,0.0024330900243309
"15","BMPR2",15,2,386,0.00259067357512953,0.00518134715025907
"16","BRSK1",16,1,216,0.00462962962962963,0.00462962962962963
"17","BTK",17,3,601,0.00166389351081531,0.00499168053244592
"18","CAMK2B",18,1,184,0.00543478260869565,0.00543478260869565
"19","CAMK4",19,2,211,0.004739336492891,0.00947867298578199
"20","CAMKK2",20,1,357,0.00280112044817927,0.00280112044817927
"21","CDC42BPA",21,1,247,0.00404858299595142,0.00404858299595142
"22","CDC42BPB",22,1,246,0.0040650406504065,0.0040650406504065
"23","CDK10",23,2,208,0.00480769230769231,0.00961538461538462
"24","CDK12",24,2,905,0.00110497237569061,0.00220994475138122
"25","CDK14",25,1,301,0.00332225913621262,0.00332225913621262
"26","CDK18",26,1,340,0.00294117647058824,0.00294117647058824
"27","CDK2",27,1,172,0.00581395348837209,0.00581395348837209
"28","CDK3",28,1,172,0.00581395348837209,0.00581395348837209
"29","CDK5",29,1,171,0.00584795321637427,0.00584795321637427
"30","CDKL4",30,1,170,0.00588235294117647,0.00588235294117647
"31","CDKL5",31,1,181,0.00552486187845304,0.00552486187845304
"32","CHEK2",32,2,437,0.0022883295194508,0.0045766590389016
"33","CHUK",33,3,191,0.00523560209424084,0.0157068062827225
"34","CIT",34,1,267,0.00374531835205993,0.00374531835205993
"35","CLK1",35,2,391,0.00255754475703325,0.0051150895140665
"36","CLK2",36,1,351,0.00284900284900285,0.00284900284900285
"37","CLK3",37,1,492,0.00203252032520325,0.00203252032520325
"38","CLK4",38,1,347,0.00288184438040346,0.00288184438040346
"39","CSK",39,2,356,0.00280898876404494,0.00561797752808989
"40","CSNK1A1",40,2,219,0.0045662100456621,0.0091324200913242
"41","CSNK1G2",41,1,222,0.0045045045045045,0.0045045045045045
"42","CSNK2A2",42,1,202,0.00495049504950495,0.00495049504950495
"43","DAPK3",43,1,187,0.0053475935828877,0.0053475935828877
"44","DCLK1",44,2,557,0.00179533213644524,0.00359066427289048
"45","DDR2",45,2,757,0.00132100396301189,0.00264200792602378
"46","DYRK2",46,1,392,0.00255102040816327,0.00255102040816327
"47","DYRK3",47,3,379,0.00263852242744063,0.0079155672823219
"48","DYRK4",48,1,389,0.0025706940874036,0.0025706940874036
"49","EGFR",49,4,884,0.00113122171945701,0.00452488687782805
"50","EIF2AK1",50,1,500,0.002,0.002
"51","EIF2AK2",51,1,458,0.00218340611353712,0.00218340611353712
"52","EIF2AK3",52,3,994,0.00100603621730382,0.00301810865191147
"53","EIF2AK4",53,1,911,0.00109769484083425,0.00109769484083425
"54","EPHA2",54,1,787,0.00127064803049555,0.00127064803049555
"55","EPHA3",55,3,794,0.00125944584382872,0.00377833753148615
"56","EPHA4",56,2,794,0.00125944584382872,0.00251889168765743
"57","EPHA5",57,6,849,0.00117785630153121,0.00706713780918728
"58","EPHA6",58,3,940,0.00106382978723404,0.00319148936170213
"59","EPHA7",59,4,806,0.00124069478908189,0.00496277915632754
"60","EPHA8",60,2,808,0.00123762376237624,0.00247524752475248
"61","EPHB1",61,3,794,0.00125944584382872,0.00377833753148615
"62","EPHB2",62,2,796,0.00125628140703518,0.00251256281407035
"63","EPHB4",63,1,790,0.00126582278481013,0.00126582278481013
"64","ERBB4",64,3,890,0.00112359550561798,0.00337078651685393
"65","ERN1",65,1,741,0.00134952766531714,0.00134952766531714
"66","ERN2",66,3,738,0.0013550135501355,0.0040650406504065
"67","FER",67,1,730,0.00136986301369863,0.00136986301369863
"68","FES",68,2,730,0.00136986301369863,0.00273972602739726
"69","FGFR2",69,3,674,0.00148367952522255,0.00445103857566766
"70","FLT1",70,4,1069,0.000935453695042095,0.00374181478016838
"71","FLT3",71,1,858,0.00116550116550117,0.00116550116550117
"72","FLT4",72,1,1084,0.000922509225092251,0.000922509225092251
"73","FRK",73,3,403,0.00248138957816377,0.00744416873449132
"74","FYN",74,2,436,0.00229357798165138,0.00458715596330275
"75","GAK",75,1,230,0.00434782608695652,0.00434782608695652
"76","GRK1",76,1,362,0.00276243093922652,0.00276243093922652
"77","GRK4",77,1,356,0.00280898876404494,0.00280898876404494
"78","GRK5",78,1,355,0.0028169014084507,0.0028169014084507
"79","GRK7",79,1,360,0.00277777777777778,0.00277777777777778
"80","GSK3A",80,1,289,0.00346020761245675,0.00346020761245675
"81","HCK",81,1,427,0.00234192037470726,0.00234192037470726
"82","HIPK3",82,1,369,0.002710027100271,0.002710027100271
"83","IKBKE",83,1,183,0.00546448087431694,0.00546448087431694
"84","INSRR",84,1,1162,0.000860585197934596,0.000860585197934596
"85","IRAK3",85,1,343,0.00291545189504373,0.00291545189504373
"86","IRAK4",86,1,358,0.00279329608938547,0.00279329608938547
"87","ITK",87,2,528,0.00189393939393939,0.00378787878787879
"88","JAK1",88,3,1051,0.000951474785918173,0.00285442435775452
"89","JAK2",89,2,1024,0.0009765625,0.001953125
"90","KALRN",90,6,2850,0.000350877192982456,0.00210526315789474
"91","KDR",91,4,1075,0.000930232558139535,0.00372093023255814
"92","KIT",92,2,839,0.00119189511323004,0.00238379022646007
"93","LATS1",93,6,920,0.00108695652173913,0.00652173913043478
"94","LATS2",94,1,883,0.00113250283125708,0.00113250283125708
"95","LIMK1",95,1,549,0.00182149362477231,0.00182149362477231
"96","LIMK2",96,1,495,0.00202020202020202,0.00202020202020202
"97","LRRK1",97,3,1434,0.000697350069735007,0.00209205020920502
"98","LRRK2",98,6,2042,0.000489715964740451,0.0029382957884427
"99","MAP2K4",99,3,284,0.00352112676056338,0.0105633802816901
"100","MAP2K5",100,1,326,0.00306748466257669,0.00306748466257669
"101","MAP3K1",101,3,1419,0.000704721634954193,0.00211416490486258
"102","MAP3K12",102,2,313,0.00319488817891374,0.00638977635782748
"103","MAP3K13",103,4,323,0.00309597523219814,0.0123839009287926
"104","MAP3K19",104,5,1237,0.000808407437348424,0.00404203718674212
"105","MAP3K2",105,1,531,0.00188323917137476,0.00188323917137476
"106","MAP3K4",106,5,1512,0.000661375661375661,0.00330687830687831
"107","MAP3K5",107,1,849,0.00117785630153121,0.00117785630153121
"108","MAP3K9",108,1,319,0.00313479623824451,0.00313479623824451
"109","MAP4K5",109,1,185,0.00540540540540541,0.00540540540540541
"110","MAPK13",110,1,192,0.00520833333333333,0.00520833333333333
"111","MAPK4",111,2,198,0.00505050505050505,0.0101010101010101
"112","MAPK8",112,1,195,0.00512820512820513,0.00512820512820513
"113","MARK1",113,1,226,0.00442477876106195,0.00442477876106195
"114","MAST1",114,1,557,0.00179533213644524,0.00179533213644524
"115","MAST2",115,2,695,0.00143884892086331,0.00287769784172662
"116","MAST3",116,1,550,0.00181818181818182,0.00181818181818182
"117","MAST4",117,1,564,0.00177304964539007,0.00177304964539007
"118","MATK",118,1,395,0.00253164556962025,0.00253164556962025
"119","MERTK",119,3,770,0.0012987012987013,0.0038961038961039
"120","MET",120,3,1271,0.000786782061369001,0.002360346184107
"121","MST1R",121,1,1257,0.000795544948289578,0.000795544948289578
"122","MUSK",122,2,772,0.00129533678756477,0.00259067357512953
"123","MYLK",123,3,1631,0.000613120784794605,0.00183936235438381
"124","MYLK3",124,3,682,0.00146627565982405,0.00439882697947214
"125","MYLK4",125,1,273,0.00366300366300366,0.00366300366300366
"126","NEK11",126,3,202,0.00495049504950495,0.0148514851485149
"127","NEK4",127,1,176,0.00568181818181818,0.00568181818181818
"128","NEK5",128,1,174,0.00574712643678161,0.00574712643678161
"129","NEK7",129,1,206,0.00485436893203883,0.00485436893203883
"130","NLK",130,3,310,0.0032258064516129,0.00967741935483871
"131","NTRK3",131,2,765,0.00130718954248366,0.00261437908496732
"132","PAK2",132,1,413,0.00242130750605327,0.00242130750605327
"133","PAK3",133,1,468,0.00213675213675214,0.00213675213675214
"134","PAK6",134,1,571,0.00175131348511384,0.00175131348511384
"135","PAK7",135,2,613,0.00163132137030995,0.0032626427406199
"136","PASK",136,1,1179,0.000848176420695505,0.000848176420695505
"137","PBK",137,1,227,0.00440528634361234,0.00440528634361234
"138","PDGFRA",138,1,865,0.00115606936416185,0.00115606936416185
"139","PDGFRB",139,1,873,0.0011454753722795,0.0011454753722795
"140","PDIK1L",140,1,228,0.0043859649122807,0.0043859649122807
"141","PHKG1",141,1,226,0.00442477876106195,0.00442477876106195
"142","PHKG2",142,1,197,0.0050761421319797,0.0050761421319797
"143","PKN1",143,2,791,0.00126422250316056,0.00252844500632111
"144","PKN2",144,1,827,0.00120918984280532,0.00120918984280532
"145","PLK1",145,1,221,0.00452488687782805,0.00452488687782805
"146","PLK2",146,1,250,0.004,0.004
"147","PLK4",147,1,181,0.00552486187845304,0.00552486187845304
"148","PRKACG",148,1,209,0.00478468899521531,0.00478468899521531
"149","PRKCA",149,1,508,0.00196850393700787,0.00196850393700787
"150","PRKCB",150,1,511,0.00195694716242661,0.00195694716242661
"151","PRKCH",151,2,524,0.00190839694656489,0.00381679389312977
"152","PRKCZ",152,2,421,0.00237529691211401,0.00475059382422803
"153","PRKD1",153,2,753,0.00132802124833997,0.00265604249667995
"154","PRKG2",154,4,620,0.00161290322580645,0.00645161290322581
"155","PRPF4B",155,1,859,0.00116414435389988,0.00116414435389988
"156","PTK2B",156,1,595,0.00168067226890756,0.00168067226890756
"157","PTK6",157,1,357,0.00280112044817927,0.00280112044817927
"158","RAF1",317,2,1050,0.00381090645132021,0.00381090645132021
"159","RIPK3",160,1,189,0.00529100529100529,0.00529100529100529
"160","ROCK1",161,1,244,0.00409836065573771,0.00409836065573771
"161","ROR1",162,1,662,0.00151057401812689,0.00151057401812689
"162","ROR2",163,3,662,0.00151057401812689,0.00453172205438067
"163","ROS1",164,4,2131,0.000469263256687001,0.00187705302674801
"164","SGK3",165,2,331,0.00302114803625378,0.00604229607250755
"165","SGK494",166,2,273,0.00366300366300366,0.00732600732600733
"166","SIK1",167,1,193,0.00518134715025907,0.00518134715025907
"167","SRC",168,1,435,0.00229885057471264,0.00229885057471264
"168","STK11",169,2,223,0.00448430493273543,0.00896860986547085
"169","STK17A",170,2,233,0.00429184549356223,0.00858369098712446
"170","STK24",171,1,201,0.00497512437810945,0.00497512437810945
